"Date","Price","Open","High","Low","Vol.","Change %"
"03/22/2024","31,950.0","32,300.0","32,800.0","31,100.0","24.60M","0.79%"
"03/21/2024","31,700.0","30,900.0","32,100.0","29,900.0","44.81M","4.28%"
"03/20/2024","30,400.0","29,850.0","30,800.0","29,550.0","29.50M","1.67%"
"03/19/2024","29,900.0","30,950.0","30,950.0","29,900.0","28.34M","-1.81%"
"03/18/2024","30,450.0","28,900.0","30,450.0","28,800.0","78.93M","6.84%"
"03/15/2024","28,500.0","27,650.0","29,000.0","27,550.0","69.89M","3.64%"
"03/14/2024","27,500.0","27,300.0","27,800.0","27,000.0","35.28M","1.85%"
"03/13/2024","27,000.0","26,550.0","27,000.0","26,350.0","14.82M","2.47%"
"03/12/2024","26,350.0","26,250.0","26,650.0","26,100.0","13.97M","0.57%"
"03/11/2024","26,200.0","26,550.0","26,800.0","26,050.0","18.54M","-1.32%"
"03/08/2024","26,550.0","27,500.0","27,550.0","26,550.0","32.13M","-2.93%"
"03/07/2024","27,350.0","27,100.0","27,500.0","26,700.0","28.91M","0.55%"
"03/06/2024","27,200.0","27,850.0","27,950.0","27,150.0","15.93M","-2.33%"
"03/05/2024","27,850.0","28,150.0","28,300.0","27,700.0","19.13M","-0.89%"
"03/04/2024","28,100.0","27,950.0","28,800.0","27,950.0","49.27M","2.00%"
"03/01/2024","27,550.0","27,500.0","27,700.0","27,300.0","13.41M","0.92%"
"02/29/2024","27,300.0","27,100.0","27,800.0","27,000.0","28.07M","1.11%"
"02/28/2024","27,000.0","27,500.0","27,500.0","26,850.0","13.61M","-1.28%"
"02/27/2024","27,350.0","26,600.0","27,350.0","26,450.0","18.91M","3.40%"
"02/26/2024","26,450.0","26,200.0","26,550.0","26,000.0","13.35M","0.57%"
"02/23/2024","26,300.0","27,100.0","27,100.0","26,000.0","27.79M","-2.59%"
"02/22/2024","27,000.0","27,200.0","27,300.0","27,000.0","12.82M","-0.74%"
"02/21/2024","27,200.0","27,500.0","27,650.0","27,050.0","20.44M","-1.09%"
"02/20/2024","27,500.0","27,700.0","27,950.0","27,400.0","15.94M","-0.36%"
"02/19/2024","27,600.0","27,900.0","27,900.0","27,400.0","19.15M","-0.90%"
"02/16/2024","27,850.0","28,000.0","28,400.0","27,800.0","25.68M","0.54%"
"02/15/2024","27,700.0","27,500.0","27,700.0","27,250.0","16.42M","1.47%"
"02/07/2024","27,300.0","27,600.0","27,650.0","27,250.0","18.34M","-0.91%"
"02/06/2024","27,550.0","27,600.0","27,850.0","27,500.0","10.13M","0.00%"
"02/05/2024","27,550.0","27,800.0","27,850.0","27,300.0","16.06M","-0.36%"
"02/02/2024","27,650.0","27,650.0","28,550.0","27,500.0","26.33M","0.91%"
"02/01/2024","27,400.0","27,200.0","27,700.0","27,150.0","16.14M","1.11%"
"01/31/2024","27,100.0","27,200.0","27,550.0","26,950.0","26.05M","0.56%"
"01/30/2024","26,950.0","26,800.0","27,100.0","26,800.0","9.31M","0.94%"
"01/29/2024","26,700.0","27,050.0","27,100.0","26,700.0","9.10M","-0.93%"
"01/26/2024","26,950.0","26,950.0","27,450.0","26,900.0","12.54M","0.37%"
"01/25/2024","26,850.0","26,900.0","27,150.0","26,750.0","9.45M","0.00%"
"01/24/2024","26,850.0","26,850.0","27,150.0","26,750.0","10.30M","0.00%"
"01/23/2024","26,850.0","27,350.0","27,350.0","26,850.0","8.13M","-1.10%"
"01/22/2024","27,150.0","26,700.0","27,200.0","26,400.0","18.38M","2.07%"
"01/19/2024","26,600.0","27,250.0","27,350.0","26,600.0","14.23M","-1.48%"
"01/18/2024","27,000.0","27,150.0","27,400.0","26,900.0","17.34M","0.56%"
"01/17/2024","26,850.0","26,850.0","27,300.0","26,700.0","16.30M","0.19%"
"01/16/2024","26,800.0","26,100.0","26,800.0","26,050.0","10.00M","2.10%"
"01/15/2024","26,250.0","26,500.0","26,900.0","26,250.0","10.93M","-0.38%"
