Date,Price,Open,High,Low,Vol.,Change %
3/22/2024,"19,850.00","19,600.00","20,000.00","19,300.00",30.55M,1.79%
3/21/2024,"19,500.00","18,950.00","19,550.00","18,650.00",38.13M,4.00%
3/20/2024,"18,750.00","18,600.00","18,800.00","18,350.00",12.37M,1.35%
3/19/2024,"18,500.00","19,200.00","19,300.00","18,500.00",11.64M,-2.63%
3/18/2024,"19,000.00","18,450.00","19,300.00","18,200.00",36.19M,3.83%
3/15/2024,"18,300.00","18,100.00","18,850.00","18,100.00",29.13M,1.10%
3/14/2024,"18,100.00","18,200.00","18,400.00","17,900.00",12.18M,-0.28%
3/13/2024,"18,150.00","17,500.00","18,200.00","17,500.00",10.29M,3.71%
3/12/2024,"17,500.00","17,500.00","17,800.00","17,300.00",12.94M,-1.41%
3/11/2024,"17,750.00","18,050.00","18,100.00","17,750.00",9.53M,-1.66%
3/8/2024,"18,050.00","18,350.00","18,450.00","18,000.00",15.19M,-1.63%
3/7/2024,"18,350.00","18,150.00","18,400.00","18,000.00",10.83M,1.10%
3/6/2024,"18,150.00","18,500.00","18,550.00","18,100.00",7.32M,-2.16%
3/5/2024,"18,550.00","18,700.00","18,700.00","18,400.00",8.08M,-0.54%
3/4/2024,"18,650.00","18,600.00","18,950.00","18,600.00",15.82M,1.08%
3/1/2024,"18,450.00","18,300.00","18,500.00","18,150.00",9.35M,1.10%
2/29/2024,"18,250.00","18,150.00","18,400.00","18,050.00",13.44M,1.11%
2/28/2024,"18,050.00","18,300.00","18,350.00","18,000.00",6.99M,-0.82%
2/27/2024,"18,200.00","18,000.00","18,300.00","17,800.00",11.25M,1.96%
2/26/2024,"17,850.00","18,100.00","18,150.00","17,650.00",9.10M,-1.65%
2/23/2024,"18,150.00","18,500.00","18,600.00","18,000.00",14.31M,-1.89%
2/22/2024,"18,500.00","18,850.00","18,850.00","18,500.00",7.65M,-1.33%
2/21/2024,"18,750.00","19,050.00","19,050.00","18,700.00",7.74M,-1.06%
2/20/2024,"18,950.00","18,900.00","19,100.00","18,700.00",14.05M,0.80%
2/19/2024,"18,800.00","19,050.00","19,050.00","18,700.00",7.34M,-0.79%
2/16/2024,"18,950.00","18,800.00","19,200.00","18,800.00",13.95M,1.34%
2/15/2024,"18,700.00","18,600.00","18,800.00","18,450.00",6.62M,1.63%
2/7/2024,"18,400.00","18,500.00","18,600.00","18,350.00",5.92M,-0.27%
2/6/2024,"18,450.00","18,450.00","18,700.00","18,400.00",5.62M,0.00%
2/5/2024,"18,450.00","18,500.00","18,700.00","18,250.00",8.44M,-0.54%
2/2/2024,"18,550.00","18,700.00","19,150.00","18,550.00",10.70M,-0.27%
2/1/2024,"18,600.00","18,500.00","18,650.00","18,450.00",4.88M,0.54%
1/31/2024,"18,500.00","18,900.00","18,950.00","18,500.00",10.37M,-1.33%
1/30/2024,"18,750.00","18,800.00","18,850.00","18,600.00",5.44M,0.00%
1/29/2024,"18,750.00","19,050.00","19,100.00","18,750.00",4.45M,-1.06%
1/26/2024,"18,950.00","18,900.00","19,150.00","18,800.00",5.66M,0.80%
1/25/2024,"18,800.00","18,800.00","18,950.00","18,700.00",8.00M,-0.53%
1/24/2024,"18,900.00","19,000.00","19,100.00","18,800.00",6.77M,-0.53%
1/23/2024,"19,000.00","19,300.00","19,350.00","18,900.00",4.49M,-1.04%
